Name_of_Satellite_Station,Number_of_Jump_Point
20170821_G10,7
20170821_G13,10
20170821_G15,7
20170821_G16,6
20170821_G18,5
20170821_G20,2
20170821_G21,1
20170821_G24,10
20170821_G27,11
20170821_G29,2
20170821_G32,1
20170821_G08,8
20170821_G14,15
20170821_G11,18
20170821_G31,2
20170821_G01,15
20170821_G25,10
20170821_G22,3
20170821_G12,3
20170821_G03,8
20170821_G26,5
20170821_G23,0
20170821_G09,5
20170821_G06,16
20170821_G07,0
20170821_G30,0
20170821_G28,0
20170821_G05,1
20170821_G17,0
20170821_G19,6
20170821_G02,0
20170822_G10,6
20170822_G13,9
20170822_G15,4
20170822_G16,8
20170822_G18,3
20170822_G20,1
20170822_G21,1
20170822_G24,13
20170822_G27,8
20170822_G29,8
20170822_G32,1
20170822_G08,6
20170822_G14,12
20170822_G11,15
20170822_G31,1
20170822_G01,11
20170822_G22,4
20170822_G25,12
20170822_G12,1
20170822_G03,8
20170822_G26,6
20170822_G23,1
20170822_G09,5
20170822_G06,14
20170822_G07,0
20170822_G30,0
20170822_G28,0
20170822_G05,2
20170822_G17,0
20170822_G19,6
20170822_G02,3
20170823_G10,5
20170823_G13,9
20170823_G15,29
20170823_G16,5
20170823_G18,7
20170823_G20,4
20170823_G21,2
20170823_G24,10
20170823_G27,8
20170823_G29,2
20170823_G32,2
20170823_G08,7
20170823_G14,12
20170823_G11,11
20170823_G31,1
20170823_G01,9
20170823_G22,5
20170823_G25,11
20170823_G12,6
20170823_G03,10
20170823_G26,4
20170823_G23,0
20170823_G09,4
20170823_G06,11
20170823_G07,0
20170823_G30,0
20170823_G28,1
20170823_G05,3
20170823_G17,0
20170823_G19,3
20170823_G02,2
20170824_G10,7
20170824_G13,10